pitcher,pitch_type,mean,max,min
Adelmann,CT,87.66857142857143,90.0,82.0
Adelmann,SL,81.02459016393442,83.0,78.0
Adelmann,Sinker,87.95652173913044,89.0,86.0
Bilecki,CH,77.6,79.0,75.0
Bilecki,FB,82.68181818181819,85.0,80.0
Bilecki,SL,74.71428571428571,79.0,71.0
Firestein,CT,83.11538461538461,86.0,76.0
Firestein,FB,84.5625,86.0,81.0
Firestein,SL,79.36986301369863,85.0,75.0
Firestein,Sinker,82.92857142857143,85.0,80.0
Garber,CH,81.96610169491525,90.0,80.0
Garber,FB,88.14054054054054,91.0,78.0
Garber,SL,78.29166666666667,89.0,77.0
Janik,CB,74.9,86.0,73.0
Janik,CH,76.4,78.0,74.0
Janik,FB,84.1025641025641,89.0,73.0
Janik,SL,74.83870967741936,78.0,72.0
Janik,Sinker,83.25,86.0,82.0
Julks,CH,78.82608695652173,81.0,77.0
Julks,FB,83.65517241379311,87.0,80.0
Julks,SL,72.02272727272727,83.0,68.0
Maxwell,CH,81.3076923076923,84.0,78.0
Maxwell,CT,82.60975609756098,89.0,79.0
Maxwell,FB,88.38947368421053,92.0,84.0
Maxwell,SL,80.09677419354838,84.0,76.0
Maxwell,Sinker,85.62068965517241,90.0,82.0
Mitchell,CB,71.71428571428571,74.0,69.0
Mitchell,CH,82.82352941176471,86.0,79.0
Mitchell,CT,83.12,86.0,79.0
Mitchell,FB,87.04310344827586,90.0,83.0
Mitchell,SL,76.84313725490196,81.0,71.0
Mitchell,Sinker,86.7936507936508,89.0,84.0
Muir,CH,70.66666666666667,72.0,69.0
Muir,FB,81.66666666666667,86.0,74.0
Muir,SL,71.22727272727273,75.0,64.0
Mulvey,CH,82.82352941176471,85.0,79.0
Mulvey,FB,87.42372881355932,91.0,80.0
Mulvey,SL,79.44615384615385,89.0,75.0
O'Malley,FB,92.0,95.0,88.0
O'Malley,SL,76.0,79.0,73.0
O'Malley,SPL,83.71428571428571,87.0,82.0
Pavone,CH,82.25,91.0,79.0
Pavone,FB,88.71014492753623,92.0,77.0
Pavone,SL,78.05797101449275,90.0,76.0
Pavone,Sinker,89.0,89.0,89.0
Radtke,CH,77.5,79.0,76.0
Radtke,CT,78.84126984126983,84.0,74.0
Radtke,FB,84.29347826086956,88.0,77.0
Radtke,SL,74.91489361702128,80.0,72.0
Radtke,Sinker,85.15789473684211,87.0,81.0
Schultz,CH,83.94736842105263,87.0,82.0
Schultz,FB,89.8804347826087,92.0,88.0
Schultz,SL,78.73529411764706,83.0,76.0
"Swenson, B.",CH,82.28125,86.0,80.0
"Swenson, B.",CT,82.07142857142857,84.0,81.0
"Swenson, B.",FB,87.40677966101696,89.0,85.0
"Swenson, B.",SL,77.77777777777777,80.0,76.0
