pitcher,pitch_count,strike_percentage,first_pitch_strike_percentage,strikeout_rate,walk_rate,whiff_percentage,hard_hit_percentage
Adelmann,322,55.55555555555556,48.10126582278481,26.923076923076923,19.230769230769234,42.857142857142854,31.03448275862069
Bilecki,84,65.47619047619048,65.0,5.0,5.0,45.83333333333333,47.05882352941176
Bullock,5,0.0,0.0,0.0,0.0,0.0,0.0
Delaney,11,0.0,0.0,0.0,0.0,0.0,0.0
Firestein,169,40.69767441860465,20.0,12.82051282051282,46.15384615384615,25.925925925925924,15.384615384615385
Garber,295,53.40136054421769,46.03174603174603,23.52941176470588,19.11764705882353,34.24657534246575,54.54545454545454
Janik,196,49.743589743589745,41.86046511627907,17.647058823529413,23.52941176470588,47.22222222222222,46.15384615384615
Julks,183,48.63387978142077,47.5,13.725490196078432,15.686274509803921,46.666666666666664,25.0
Magovern,27,0.0,0.0,0.0,0.0,0.0,0.0
Maxwell,209,58.525345622119815,52.083333333333336,28.000000000000004,20.0,32.35294117647059,30.434782608695656
Mitchell,279,50.5338078291815,47.69230769230769,24.637681159420293,23.18840579710145,43.75,40.74074074074074
Muir,185,43.78378378378379,41.46341463414634,24.489795918367346,30.612244897959183,43.18181818181818,22.22222222222222
Mulvey,219,46.118721461187214,44.44444444444444,26.41509433962264,32.075471698113205,41.86046511627907,37.5
O'Malley,198,48.98989898989899,52.5,35.0,37.5,31.25,28.57142857142857
O'neill,71,0.0,0.0,0.0,0.0,0.0,0.0
Pavone,244,52.4390243902439,49.122807017543856,14.035087719298245,19.298245614035086,36.36363636363637,48.0
Radtke,233,43.09623430962343,42.30769230769231,11.475409836065573,31.147540983606557,38.88888888888889,48.0
Schultz,145,57.24137931034483,53.84615384615385,17.5,15.0,44.827586206896555,47.61904761904761
"Swenson, B.",137,46.715328467153284,35.714285714285715,28.947368421052634,28.947368421052634,60.0,38.46153846153847
